year,city,country,avg_temp
1796,Haora,India,25.89
1797,Haora,India,26.99
1798,Haora,India,25.56
1799,Haora,India,26.15
1800,Haora,India,26.09
1801,Haora,India,25.48
1802,Haora,India,26.54
1803,Haora,India,26.30
1804,Haora,India,26.62
1805,Haora,India,26.20
1806,Haora,India,26.11
1807,Haora,India,25.59
1813,Haora,India,25.45
1814,Haora,India,24.95
1815,Haora,India,24.98
1816,Haora,India,24.77
1817,Haora,India,24.77
1818,Haora,India,24.74
1819,Haora,India,24.54
1820,Haora,India,24.87
1821,Haora,India,25.82
1822,Haora,India,26.02
1823,Haora,India,25.69
1824,Haora,India,26.21
1825,Haora,India,25.99
1826,Haora,India,26.02
1827,Haora,India,26.19
1828,Haora,India,25.80
1829,Haora,India,25.61
1830,Haora,India,25.90
1831,Haora,India,25.37
1832,Haora,India,25.73
1833,Haora,India,25.79
1834,Haora,India,25.55
1835,Haora,India,24.52
1836,Haora,India,25.61
1837,Haora,India,25.48
1838,Haora,India,25.43
1839,Haora,India,25.46
1840,Haora,India,25.84
1841,Haora,India,25.89
1842,Haora,India,25.58
1843,Haora,India,25.61
1844,Haora,India,25.21
1845,Haora,India,25.43
1846,Haora,India,25.59
1847,Haora,India,25.26
1848,Haora,India,25.28
1849,Haora,India,25.24
1850,Haora,India,25.79
1851,Haora,India,25.74
1852,Haora,India,25.45
1853,Haora,India,25.94
1854,Haora,India,25.96
1855,Haora,India,25.91
1856,Haora,India,25.46
1857,Haora,India,25.16
1858,Haora,India,25.77
1859,Haora,India,25.83
1860,Haora,India,25.56
1861,Haora,India,25.49
1862,Haora,India,20.97
1863,Haora,India,25.72
1864,Haora,India,25.54
1865,Haora,India,25.92
1866,Haora,India,26.03
1867,Haora,India,25.99
1868,Haora,India,25.64
1869,Haora,India,25.64
1870,Haora,India,25.67
1871,Haora,India,25.89
1872,Haora,India,25.88
1873,Haora,India,25.90
1874,Haora,India,25.71
1875,Haora,India,25.84
1876,Haora,India,25.78
1877,Haora,India,25.72
1878,Haora,India,26.35
1879,Haora,India,26.26
1880,Haora,India,25.72
1881,Haora,India,25.75
1882,Haora,India,25.94
1883,Haora,India,25.49
1884,Haora,India,25.42
1885,Haora,India,25.89
1886,Haora,India,25.97
1887,Haora,India,25.53
1888,Haora,India,25.82
1889,Haora,India,26.32
1890,Haora,India,25.77
1891,Haora,India,25.72
1892,Haora,India,25.98
1893,Haora,India,24.94
1894,Haora,India,26.05
1895,Haora,India,25.90
1896,Haora,India,26.46
1897,Haora,India,26.38
1898,Haora,India,25.98
1899,Haora,India,25.89
1900,Haora,India,26.40
1901,Haora,India,26.22
1902,Haora,India,26.10
1903,Haora,India,26.18
1904,Haora,India,25.91
1905,Haora,India,25.31
1906,Haora,India,26.05
1907,Haora,India,25.89
1908,Haora,India,26.13
1909,Haora,India,26.10
1910,Haora,India,25.80
1911,Haora,India,25.88
1912,Haora,India,25.97
1913,Haora,India,25.56
1914,Haora,India,25.79
1915,Haora,India,26.36
1916,Haora,India,26.13
1917,Haora,India,25.61
1918,Haora,India,25.70
1919,Haora,India,26.07
1920,Haora,India,26.19
1921,Haora,India,26.15
1922,Haora,India,26.15
1923,Haora,India,26.11
1924,Haora,India,26.55
1925,Haora,India,25.75
1926,Haora,India,26.03
1927,Haora,India,26.12
1928,Haora,India,26.33
1929,Haora,India,26.05
1930,Haora,India,26.01
1931,Haora,India,26.40
1932,Haora,India,26.43
1933,Haora,India,25.82
1934,Haora,India,26.05
1935,Haora,India,26.28
1936,Haora,India,26.07
1937,Haora,India,25.81
1938,Haora,India,26.22
1939,Haora,India,26.45
1940,Haora,India,26.22
1941,Haora,India,26.61
1942,Haora,India,26.47
1943,Haora,India,26.22
1944,Haora,India,26.24
1945,Haora,India,25.98
1946,Haora,India,26.13
1947,Haora,India,26.49
1948,Haora,India,26.25
1949,Haora,India,25.87
1950,Haora,India,26.16
1951,Haora,India,26.66
1952,Haora,India,26.39
1953,Haora,India,26.74
1954,Haora,India,26.45
1955,Haora,India,26.38
1956,Haora,India,26.14
1957,Haora,India,26.62
1958,Haora,India,27.19
1959,Haora,India,26.30
1960,Haora,India,26.59
1961,Haora,India,26.21
1962,Haora,India,26.18
1963,Haora,India,26.35
1964,Haora,India,26.62
1965,Haora,India,26.32
1966,Haora,India,26.78
1967,Haora,India,26.32
1968,Haora,India,26.15
1969,Haora,India,26.57
1970,Haora,India,26.41
1971,Haora,India,25.61
1972,Haora,India,26.42
1973,Haora,India,26.39
1974,Haora,India,26.29
1975,Haora,India,26.36
1976,Haora,India,26.53
1977,Haora,India,26.31
1978,Haora,India,26.15
1979,Haora,India,27.00
1980,Haora,India,26.66
1981,Haora,India,25.95
1982,Haora,India,26.48
1983,Haora,India,26.32
1984,Haora,India,26.22
1985,Haora,India,26.67
1986,Haora,India,26.46
1987,Haora,India,26.85
1988,Haora,India,26.89
1989,Haora,India,26.49
1990,Haora,India,26.36
1991,Haora,India,26.54
1992,Haora,India,26.41
1993,Haora,India,26.34
1994,Haora,India,26.54
1995,Haora,India,26.62
1996,Haora,India,26.65
1997,Haora,India,26.19
1998,Haora,India,26.69
1999,Haora,India,26.86
2000,Haora,India,26.49
2001,Haora,India,26.52
2002,Haora,India,26.70
2003,Haora,India,26.56
2004,Haora,India,26.63
2005,Haora,India,26.73
2006,Haora,India,26.99
2007,Haora,India,26.58
2008,Haora,India,26.52
2009,Haora,India,27.15
2010,Haora,India,27.29
2011,Haora,India,26.41
2012,Haora,India,26.94
2013,Haora,India,27.37
